var_name,consumer_repo,consumer_service,source_path,source_line,var_type
DATABASE_NAME,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,42,pydantic-setting
DATABASE_PASSWORD,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,41,pydantic-setting
DATABASE_PORT,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,39,pydantic-setting
DATABASE_URL,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,354,docker-env
DATABASE_URL,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,383,docker-env
DATABASE_URL,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,37,docker-env
DATABASE_URL,noorinalabs-user-service,,noorinalabs-user-service/.env.example,8,dotenv-example
DATABASE_URL,noorinalabs-user-service,,noorinalabs-user-service/CLAUDE.md,80,claude-md-ref
DATABASE_URL,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,35,pydantic-setting
DATABASE_USER,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,40,pydantic-setting
DATA_CURATED_DIR,noorinalabs-data-acquisition,,noorinalabs-data-acquisition/.env.example,17,dotenv-example
DATA_CURATED_DIR,noorinalabs-data-acquisition,,noorinalabs-data-acquisition/CLAUDE.md,120,claude-md-ref
DATA_CURATED_DIR,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/.env.example,32,dotenv-example
DATA_CURATED_DIR,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,157,claude-md-ref
DATA_CURATED_DIR,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/.env.example,17,dotenv-example
DATA_RAW_DIR,noorinalabs-data-acquisition,,noorinalabs-data-acquisition/.env.example,15,dotenv-example
DATA_RAW_DIR,noorinalabs-data-acquisition,,noorinalabs-data-acquisition/CLAUDE.md,120,claude-md-ref
DATA_RAW_DIR,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/.env.example,30,dotenv-example
DATA_RAW_DIR,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,157,claude-md-ref
DATA_RAW_DIR,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/.env.example,15,dotenv-example
DATA_SOURCE_NAME,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,504,docker-env
DATA_SOURCE_NAME,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,769,docker-env
DATA_STAGING_DIR,noorinalabs-data-acquisition,,noorinalabs-data-acquisition/.env.example,16,dotenv-example
DATA_STAGING_DIR,noorinalabs-data-acquisition,,noorinalabs-data-acquisition/CLAUDE.md,120,claude-md-ref
DATA_STAGING_DIR,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/.env.example,31,dotenv-example
DATA_STAGING_DIR,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,157,claude-md-ref
DATA_STAGING_DIR,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/.env.example,16,dotenv-example
DEPLOY_REPO_PAT,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/ghcr-publish.yml,181,gha-secret
DEPLOY_REPO_PAT,noorinalabs-user-service,.github,noorinalabs-user-service/.github/workflows/ghcr-publish.yml,200,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/db-migrate.yml,117,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/db-migrate.yml,259,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-all.yml,52,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-isnad-graph.yml,84,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-isnad-graph.yml,144,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-landing-page.yml,35,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-prod.yml,133,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-prod.yml,234,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-prod.yml,263,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-stg.yml,148,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-stg.yml,172,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,416,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,794,gha-secret
